id,pair,sentence,label,resolution
89,pair1,រាជធានីភ្នំពេញ ៖ សម្តេចតេជោ ហ៊ុន សែន នាយករដ្ឋមន្ត្រីនៃកម្ពុជា បានចំអកឲ្យក្រុមប្រឆាំងដែលដឹកនាំដោយលោក សម រង្ស៊ី ដែលសម្តេចបានហៅថា ជាចោរក្បត់ជាតិនោះថា បានបង្កើតកំហុសយុទ្ធសាស្តរ ធំ២ រហូតនាំទុក្ខដល់អ្នកគាំទ្ររបស់ខ្លួន ។,negative,corpus label used
90,pair1,ដោយឡែកមូលដែលធ្វើឱ្យស្ពានយោលត្រូវទឹកគួចដាច់ទាំងស្រុងនេះ គឺបណ្តាលមកពីភ្លៀងខាងលើខ្លាំងហើយនាំមកនូវសំរាមឈើធំៗមកជាប់នឹងសំណាញ់ដៃស្ពាន ទើបដាច់ទៅទាំងផ្ទាំងតែម្តង។,negative,annotators agreed
91,pair1,ភ្លៀងធ្លាក់ខ្លាំងតាមរដូវម្តងទៀត បានវាយលុកភាគពាយព្យនៃប្រទេសថៃកាលពីថ្ងៃអាទិត្យទី ៩ ខែតុលា បណ្តាលឱ្យមានទឹកជំនន់បន្តរីករាលដាល ជាពិសេសនៅតំបន់ភាគខាងជើងឆៀងខាងកើត និងកណ្តាល។,negative,annotators agreed
92,pair1,បើតាមលោក អំ សំអាត អ្នកស្រី ចក់ សុភាព ត្រូវបានអយ្យការចោទសួរអំពីប្រភពមូលនិធិដែលត្រូវបានផ្តល់ជូនមជ្ឈមណ្ឌលសិទ្ធិមនុស្សកម្ពុជា អំឡុងពេលអ្នកស្រីបំពេញការងារជាមួយលោក កឹម សុខា។,negative,annotators agreed
93,pair1,ប៉ុន្តែ នៅក្នុងទំនាក់ទំនងកម្រិតអ្វីក៏ដោយ បើគេមានភាពស្មោះត្រង់ក្នុងការកសាង «មិត្តភាព» នោះគេនឹងមានការថ្លឹងថ្លែង នឹងមានការក្រែងចំពោះយើង។,positive,corpus label used
94,pair1,អេឡុន ម៉ាស និង ហ្សេឡេនស្គី ប៉ះសម្តីគ្នាលើបណ្តាញសង្គមធ្វីតធ័រ ជុំវិញផែនការសន្តិភាពអ៊ុយក្រែន,negative,corpus label used
95,pair1,វីដេអូ ៖ ក្រសួងអប់រំ កំពុងធ្វើការស្រាវជ្រាវករណីនាយកវិទ្យាល័យសេរីភាពវាយសិស្សស្រីម្នាក់,negative,corpus label used
96,pair1,សូមរំលឹកផងដែរថា កាលពីថ្ងៃទី៨ ខែតុលា ឆ្នាំ២០២២ លោក វេង សាខុន ត្រូវបានព្រះករុណា ព្រះបាទសម្តេច ព្រះបរមនាថ នរោត្តម សីហមុនី ព្រះមហាក្សត្រនៃកម្ពុជា បានចេញព្រះរាជក្រឹត្យបញ្ចប់មុខតំណែងលោក វេង សាខុន ពីរដ្ឋមន្រតីក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ...៕,negative,annotators agreed
97,pair1,អកប្បកិរិយាអវិជ្ជមានទាំងអស់នេះនាំមហន្តរាយដល់សង្គមខ្មែរយើងយ៉ាងប្រាកដ ។,negative,corpus label used
98,pair1,កាត់បន្ថយបុគ្គលគ្រាប់ល្ពៅនឹងមន្រតីគ្រាប់ល្ពៅមិនងាយអស់ទេអូនស្រីអើយ អូនជាអ្នកចេះដឹងកុំខ្វល់រឿងឥតប្រយោជន៍អី ខ្ញុំរង់ចាំមើល video អូនគ្រប់ពេលណា,negative,annotators agreed
99,pair1,បាននិយាយថា នាវានោះបែងចែក១៥០បន្ទប់ហើយក្រុមអ្នកមុជទឹកកំពុងរុករកម្តងមួយបន្ទប់ៗចំណែកឯក្រុមអាជ្ញាធរបានពង្រីកតំបន់រុករកដើម្បីបញ្ចូលទាំងតំបន់ជាច្រើននៅជុំវិញតំបន់វូហានចម្ងាយ២២០គ.ម.ទៅខ្សែទឹកខាងក្រោម។,neutral,corpus label used
100,pair1,ការបង្រៀន និងការសិក្សាមានជាច្រើនកម្រិតផ្សេងៗគ្នា ហើយយើងក៏កំពុងតែប្រសើរឡើងជាមួយគ្នាផងដែរ។,positive,corpus label used
101,pair1,"ព្រះអង្គជ័យ ស្តេចទ្រង់ទសពិធរាជធម៌ ប្រសើរណាស់, អាណាប្រជានុរាស្តរក្នុងព្រះនគរបានសុខក្សេមក្សាន្ត ឥតមានសឹកសត្រូវអ្វីឡើយ។",positive,annotators agreed
102,pair1,បើសិនជាយើងស្ទូងដោយប្រើចន្លោះគុម្ពមិនត្រឹមត្រូវទៅតាមប្រភេទដីដូចជាស្ទូងទុកចន្លោះគុម្ពស្នាក់ការធំពេកលើដីដែលពុំសូវមានជីជាតិឬទុកចន្លោះគុម្ពតូចពេកលើដីដែលមានជីជាតិនោះវាអាចធ្វើឲ្យមានការថយចុះនូវទិន្នផលដែរ,negative,corpus label used
103,pair1,គ.ឱពលិកម្មនោះមាន៥យ៉ាងអ្នកឯងស្តាប់ចុះ។,neutral,corpus label used
104,pair1,ជាថ្មីម្តងទៀត ទាំងនេះគឺជារឿងរ៉ាវដែលរដ្ឋាភិបាលលោក ហ៊ុន សែន ធ្វើឡើងដើម្បីដាក់សម្ពាធកាន់តែខ្លាំងមកលើកញ្ញា សេង ធារី និងដើម្បីធ្វើឱ្យជីវិតរបស់កញ្ញាកាន់តែវេទនា ព្រមទាំងព្យាយាមបំបាក់ស្មារតីកញ្ញា។,negative,corpus label used
105,pair1,ជាចុងក្រោយគាត់សូមអរគុណដល់ក្រុមការងាររ៉ាក់ដែលបានផ្តល់ការប្រឹក្សានិងការធ្វើតេស្តឈាមជូនគាត់ដោយមិនគិតថវិការហើយថែមទាំងបានផ្តល់ទំនុកចិត្តដល់គាត់ធ្វើឲ្យគាត់ទទួលសេវាបានទាន់ពេលវេលាគ្មានចេញជារោគសញ្ញាបង្ហាញឲ្យអ្នកដ៏ទៃដឹងនិងអាចធ្វើឲ្យគាត់មានសុខភាពល្អ,positive,corpus label used
106,pair1,ថ្លៃឈ្នួលកម្លាំងពលកម្មក៏មានការប្រែប្រួលទៅតាមប្រភេទការងារផ្សេងៗដែរ ដូចជាការភ្ជួរដីដកស្ទូងធ្វើស្មៅច្រូត និងបោកជាដើមឬពេលមមាញឹកនៃការងារ,neutral,corpus label used
107,pair1,ការគេងឆ្អែតគ្រប់គ្រាន់ពេលយប់ ជាគន្លឹះសំខាន់ក្នុងការជំរុញឲ្យរាងកាយអ្នកមានថាមពលគ្រប់គ្រាន់សម្រាប់សកម្មភាពប្រចាំថ្ងៃដូចជាការសិក្សា និងបំពេញការងារ នៅព្រឹកស្អែក។,positive,corpus label used
108,pair1,ទោះជាយ៉ាងណា វិបត្តិទឹក និងអនាម័យនៅតែជាបញ្ហាប្រឈម ជាពិសេសសម្រាប់អ្នករស់នៅតាមជនបទ។,negative,corpus label used
109,pair1,បើសិនជាមានរឿងនេះមេបាខ្លះគេប្រកាន់ គេនឹងទៅតាមកាច់សមាជិកគ្រួសារណាម្នាក់ឲ្យឈឺ រហូតតាមរកស្រតីប្រព្រឹត្តកំហុសនោះឃើញតាមរយៈបូលពងមាន់។,negative,annotators agreed
110,pair1,ហេតុនេះហើយទើប ទម្លាប់ល្អក្នុងការគេងគួរបណ្តុះចាប់ពីក្មេងទៅ។,neutral,corpus label used
111,pair1,ទោះយ៉ាងណា លោក សុខនឿន បញ្ជាក់ថា និន្នាការរបស់ប្រជាជនក្នុងស្រុកចំពោះការស្នាក់នៅខុនដូក៏មានការកើនឡើងខ្លះៗផងដែរនាពេលនេះ ខណៈអ្នកវិនិយោគមួយចំនួនក៏បាននិងកំពុងបែរមកអតិថិថជនក្នុងស្រុកជំនួសឱ្យអតិថិជនក្រៅស្រុកផងដែរ។,positive,corpus label used
112,pair1,នេះបើតាមសេចក្តីប្រកាសព័ត៌មានរបស់រដ្ឋបាលព្រៃឈើ នៅថ្ងៃទី១៦ ខែកញ្ញា ឆ្នាំ២០២២។,neutral,corpus label used
113,pair1,រដ្ឋាភិបាលបានប្រាប់ឱ្យដឹងថា ខ្លួនកំពុងតែដំណើរការឆ្ពោះទៅរកការបង្កើតតុលាការការងារនៅកម្ពុជា។,neutral,corpus label used
114,pair1,នាយករដ្ឋមន្រ្តីថៃ ប្រាយុទ្ធ ចាន់អូចា នៅថ្ងៃទី១០ ខែតុលា ឆ្នាំ២០២២នេះ បានបញ្ជាឱ្យមានការរឹតបន្តឹងទៅលើច្បាប់នៃការប្រើប្រាស់កាំភ្លើងនៅក្នុងប្រទេសខ្លួន បន្ទាប់ពីមានហេតុការណ៍បាញ់សម្លាប់រង្គាលនៅក្នុងមណ្ឌលថែទាំកុមារ។,neutral,corpus label used
115,pair1,យើងអាចស៊ើបអង្កេតការរំលោភបំពាន និងការធ្វេសប្រហែស បណ្តុះបណ្តាលមនុស្ស និងធ្វើឱ្យប្រាកដថាកន្លែងនោះកំពុងប្រព្រឹត្តិមនុស្សត្រឹមត្រូវ។,negative,corpus label used
116,pair1,រដ្ឋមន្ត្រីក្រសួងសុខាភិបាលតួកគី លោក Fahrettin Koca បានសរសេរនៅលើបណ្តាញសង្គមធ្វីតធើររបស់លោកថា មានមនុស្សចំនួន ២៨ នាក់បានស្លាប់បាត់បង់ជីវិត នៅក្នុងឧបទ្ទវហេតុនេះ ខណៈក្រុមសង្គ្រោះបន្ទាន់បានជួយសង្គ្រោះមនុស្សចំនួន ៥៨ នាក់ចេញពីអណ្តូងរ៉ែកើតហេតុ។,negative,corpus label used
117,pair1,សម្រាប់អ្នកឃ្លាំមើល ការកាត់ទោសដោយពិន័យជាប្រាក់រហូតដល់៧៥ម៉ឺនដុល្លារ «ពីបទបរិហាកេរ្តិ៍»នោះ គឺជាដាក់សម្ពាធទៅលើគណបក្សប្រឆាំងមុនការបោះឆ្នោតថ្នាក់ជាតិមកដល់។,negative,annotators agreed
118,pair1,(ខេត្តបាត់ដំបង)៖ ប្រធានគណៈបញ្ជាការឯកភាពរដ្ឋបាលខេត្ត និងជាអភិបាលខេត្តបាត់ដំបង ឯកឧត្តម សុខ លូ បានដាក់បញ្ជាជាថ្មីដល់រដ្ឋបាលស្រុកពាក់ព័ន្ធទាំងអស់ បន្តចុះជំរឿនឧបករណ៍នេសាទខុសច្បាប់ ខណៈបទល្មើសនេសាទនៅតែបន្តកើតមាន។,negative,annotators agreed
119,pair1,នេះបើតាមរយៈសេចក្តីថ្លែងការណ៍របស់ក្រសួងការបរទេសកម្ពុជា ដែលបានចេញកាលពីយប់ថ្ងៃទី៤ ខែ តុលា ឆ្នាំ២០២២។,neutral,corpus label used
120,pair1,ចំណុចខាងក្រោមទាំងនេះ ជាសញ្ញាបញ្ជាក់អំពីរបៀបដែលទម្លាប់ និង ស្ថានភាពកើតមានឡើងមួយចំនួន និង ដែលកើតឡើងជាទូទៅ អាចប្រើក្លាយទៅជាបញ្ហាធ្ងន់ធ្ងរ។,neutral,annotators agreed
121,pair1,ភិក្ខុកម្លោះរូបនេះ ទំនុកបម្រុងមាតាបិតាតាម ទំនងនេះចាប់ពីពេលនោះរហូតមក ទោះជាខ្លួនបានភត្តផ្សេងៗ មានភត្ត ដែលព្រះភត្តុទ្ទេសកៈចាត់តាមវេនដែលគេនិមន្តជាដើម ក៏លោកយក ទៅជូនញោមអស់ៗ ហើយខ្លួនលោកផ្ទាល់និមន្តដើររកបិណ្ឌបាត បានក៏ឆាន់ បើមិនបានក៏អត់ឆាន់ទៅ សម្រាប់ថ្ងៃដែលបានមានតិចទេ រីឯថ្ងៃដែលអត់គឺច្រើន។,positive,corpus label used
122,pair1,ខណៈ ក្រុមហ៊ុន Izvestia នៅសប្តាហ៍នេះបានបង្ហាញថា ការលក់អាចបន្តនៅក្នុងខែតុលាជាមួយនឹងការផ្គត់ផ្គង់ឧបករណ៍ដល់អ្នកលក់រាយ និងបើកដំណើរការហាងអនឡាញរបស់ខ្លួនជាផ្លូវការ៕,positive,corpus label used
123,pair1,តាមគំនិតរបស់បក្ស PTI ដែលជាបក្សដឹកនាំដោយលោក ខាន់ គណៈកម្មាធិការរៀបចំការបោះឆ្នោតប៉ាគីស្ថាន មិនមែនជាតុលាការទេ ដូច្នេះហើយពួកគេមិនអាចប្រកាសដកសិទ្ធិនរណាម្នាក់ឡើយ។,negative,corpus label used
124,pair1,លោក ហ៊ុន សែន បានឲ្យក្រុមគ្រួសារសាងសង់ចេតិយនៅក្នុងភូមិគ្រឹះរបស់លោកនៅឯក្រុងតាខ្មៅជំនួសវិញនេះ ដោយហេតុផលថា លោកបានប្រគល់ឲ្យចៅច្បងរបស់លោករួចហើយ ពីព្រោះចៅច្បងនេះ លោក ហ៊ុន សែន អះអាងថា ជាម្តាយរបស់លោកមកចាប់ជាតិ។,neutral,corpus label used
125,pair1,ជារៀងរាល់ឆ្នាំកូនចៅតែងនាំគ្នាសែនព្រេន និងបង្សុកូលនៅវត្ត ឬចេតិយឳពុកម្តាយខ្លួន ដើម្បីជាការរំលឹកគុណចំពោះលោក។,positive,corpus label used
126,pair1,រមណីយដ្ឋាននេះលើស្ទឹងបែកជាបួន អមជាមួយនឹងសម្រស់ធម្មជាតិស្រស់ឆើតឆាយ នៃដងទន្លេកាច់កុងពត់ពេន ធ្វើឲ្យភ្ញៀវទេសចរគយគន់មិនចេះធុញទ្រាន់គ្រប់ពេលនោះទេ ដូចជា អ័ព្ទប៉ប្រះទឹកនៅពេលព្រឹក បញ្ចេញរស្មីសុរិយាក្រហមទុំដុតបញ្ឆេះរាត្រីអន្ធការឲ្យមានពន្លឺ និងជាកន្លែងស្ងប់សុខសម្រាប់អ្នកចង់បន្ធូរអារម្មណ៍តានតឹងពី ការងារ។,positive,annotators agreed
127,pair1,បច្ចុប្បន្នពិធីបុណ្យភ្ជុំបិណ្ឌ ត្រូវបានប្រជាពលរដ្ឋខ្មែរប្រារព្ធឡើងជារៀងរាល់ឆ្នាំ គឺចាប់ពីថ្ងៃ១រោច ខែភទ្របទ រហូតដល់ថ្ងៃ១៥រោច ខែភទ្របទ ដែលត្រូវនឹងខែកញ្ញា ។,positive,annotators agreed
128,pair1,ឆក់ឡើងមួយចំហៀងខ្លួនខ្ញុំឡើងដេកអត់បានបានតែអង្គុយបើដេកទៅវិលវាបោកត្រូវក្បាលមួយចំហៀង។,negative,corpus label used
129,pair1,លោកប៉ាន់ប្រមាណថា ចំនួនអ្នកធ្វើដំណើរតាមផ្លូវអាកាស អាចនឹងមានការកើនឡើងវិញ នៅចុងឆ្នាំ២០២៣ ឬដើមឆ្នាំ២០២៤ ប្រសិនគ្មានបញ្ហាសកលអ្វីៗកើតឡើងជាបន្តទៀត។,neutral,corpus label used
130,pair1,AISPP ក៏ជាសមាជិកមួយនៃសមាគមសាលារៀនអូស្ត្រាលីអន្តរជាតិ (the Australian International School Association) (AISA) ហើយយើងក៏ជាដៃគូសកលជាមួយនឹងសមាគមសាលារៀនឯកជននៃរដ្ឋ New South Wales ប្រទេសអូស្តរាលី (the Association of Independent Schools of New South Wales) ផងដែរ ។,positive,annotators agreed
131,pair1,មានអ្វីជាច្រើនដែលយើងអាចរៀនបានពីប្រទេសដទៃដូចជាប្រទេសហ្វាំងឡង់ដែលបានបោះជំហានយ៉ាងធំនៅក្នុងការផ្លាស់ប្តូរការអប់រំ។,positive,annotators agreed
132,pair1,"គិតមកត្រឹមឆ្នាំ២០១៤ ចំនួនប្រជាជនកម្ពុជាដែលកំពុងធ្វើការងារ ទាំងស្របច្បាប់ និងមិនស្របច្បាប់ នៅក្រៅប្រទេស បានរីកធំធាត់ដល់ជាង ៦០០,០០០នាក់។",positive,annotators agreed
133,pair1,ចំណែកពុទ្ធបរិស័ទទូទៅក៏អាចរៀនសូត្រពីការធ្វើពិធីបវារណាចេញវស្សារបស់ព្រះភិក្ខុសង្ឃ ផងដែរតាមរយៈបង្កើតការជួបជុំក្នុងគ្រួសារ ឬស្ថាប័ន អង្គភាពរបស់ខ្លួន ដើម្បីធ្វើការឆ្លុះបញ្ចាំងនិងផ្តល់យោបល់កែលម្អគ្នាទៅវិញទៅមក និងសុំទោសគ្នានូវរាល់កំហុសឆ្គងទាំងឡាយ ហើយចេះកែកំហុសនោះ ដើម្បីការរស់នៅសុខសាន្តជានានឹងគ្នាតរៀងទៅ ។,positive,corpus label used
134,pair1,ទន្ទឹមនឹងនោះ សេចក្តីថ្លែងការណ៍ក៏បានសំដៅទៅលើការហ្វឹកហាត់រួមគ្នានៃយន្តហោះចម្បាំង F-35A នៅក្នុងខែកក្កដា និងការដាក់ពង្រាយនាពេលខាងមុខនៃនាវាចម្បាំង USS Ronald Reagan Carrier Strike Group នៅក្នុងតំបន់ ដើម្បីជាការបង្ហាញពីការប្តេជ្ញាចិត្តរបស់សហរដ្ឋអាម៉េរិក។,positive,annotators agreed
135,pair1,វាកើតឡើងតាមរយៈយន្តការដូចជា មូលនិធិបៃតងសម្រាប់បម្រែបម្រួលអាកាសធាតុ ដឹកនាំដោយអនុសញ្ញាក្របខ័ណ្ឌសហប្រជាជាតិស្តីពីការប្រែប្រួលអាកាសធាតុ (UNFCCC) ព្រមទាំងធនាគារវិនិយោគហេដ្ឋារចនាសម្ព័ន្ធអាស៊ី ដឹកនាំដោយប្រទេសចិន (AIIB)។,neutral,corpus label used
136,pair1,តើទេពកោសល្យអ្វី ដែលអាចធ្វើឲ្យប្រទេសជិតខាង ទទួលយកសំណូមពរដោយបញ្ជូនកងទ័ពស្មគ្រ័ចិត្តវៀតណាមគៀកស្មារជាមួយកងទ័ពរណសិរ្សរំដោះប្រជាជនកម្ពុជា រហូតទទួលបានជោគជ័យលើរបបប៉ុលពត?,neutral,annotators agreed
137,pair1,យ៉ាងណា តាមរយៈជំនួបខាងលើនេះដែរ ភាគីទាំងពីរក៏បានគូសបញ្ជក់ជាថ្មីនូវការប្តេជ្ញាចិត្ត លើកកម្ពស់កិច្ចសហប្រតិបត្តិការវាងកម្ពុជា និងអូស្ត្រាលី ដើម្បីជំរុញវិស័យសេដ្ឋកិច្ច-ពាណិជ្ជកម្មទ្វេភាគីឱ្យកាន់តែរីកចម្រើនបន្ថែមទៀត៕,positive,corpus label used
138,pair1,តំបន់រមណីយដ្ឋានអង្គរដែលបានចុះបញ្ជីបេតិកភណ្ឌពិភពលោក នេះមានផ្ទៃដី ៤០១ គីឡូម៉ែត្រក្រឡាដែលជាផ្ទៃដីត្រូវរក្សាការពារដាច់ខាតដោយចែកចេញជាបីតំបន់ធំៗ ៕,positive,corpus label used
139,pair1,មន្ត្រីដែលបាននិយាយក្នុងលក្ខខណ្ឌមិនបញ្ចេញឈ្មោះបានឱ្យដឹងថា៖«កញ្ចប់អាវុធជំនួយអាចផ្លាស់ប្តូរតម្លៃ និងខ្លឹមសាររហូតដល់នាទីចុងក្រោយ»។,negative,corpus label used
140,pair1,ទូលព្រះបាទយើងអាចប្តូរប្រាក់បាន,neutral,annotators agreed
141,pair1,ក្នុងសន្និសីទសារព័ត៌មាននៅថ្ងៃនេះ មន្ត្រីក្រសួងយុត្តិធម៌៨រូប រួមទាំងអ្នកនាំពាក្យក្រសួងនេះ គឺលោក ជិន ម៉ាលីន បានលើកឡើងពីសមទ្ធផលជាច្រើនដែលក្រសួងបានខំប្រឹងប្រែង និងធ្វើកំណែទម្រង់ប្រព័ន្ធតុលាការនាពេលកន្លងមក មកដល់បច្ចុប្បន្ន។,positive,annotators agreed
142,pair1,មិត្តភក្តិខ្លះមានមុខតែពេលយើងជោគជ័យ ហើយបាតដៃរបស់ពួកគេគឺសម្រាប់តែទះអបអរពេលយើងសប្បាយរីករាយ ពេលយើងមានមុខមាត់ មានលុយ មានការរីកចម្រើន។,negative,corpus label used
143,pair1,អាជ្ញាធរត្រូវយកចិត្តទុក ដាក់ដោះស្រាយជម្លោះដីធ្លីជូនប្រជាពលរដ្ឋអោយបានរហ័ស និងមានប្រសិទ្ធិភាព ជាពិសេសការដោះស្រាយក្រៅប្រព័ន្ធតុលាការអោយបានច្រើន ដោយមិនត្រូវលំអៀងខាងភាគីណានោះទេត្រូវឈរនៅកណ្តាល ដើម្បីបម្រើផលប្រយោជន៍ទាំងសងខាង។,negative,annotators agreed
144,pair1,បើយោងតាមលោក វណ្ណា បច្ចុប្បន្ននេះក្រៅពីរាជធានីភ្នំពេញ និងខេត្តព្រះសីហនុ វិស័យអចលនទ្រព្យ និងសំណង់ ក៏បាននិងកំពុងឈានឆ្ពោះទៅខេត្តមានសក្តានុពលមួយចំនួនដូចជា កំពត កែប កោះកុង បាត់ដំបង សៀមរាប និងកំពង់ចាម ជាដើម។,positive,annotators agreed
145,pair1,លោកបានបន្ថែមថា រថយន្តបានឆ្លងកាត់ប្រទេសប៊ុលហ្គារី ហ្សកហ្ស៊ី អាមេនី អូសេទីខាងជើង និងតំបន់ Krasnodar របស់រុស្ស៊ី មុនពេលមកដល់លើស្ពាន។,neutral,annotators agreed
146,pair1,ការណ៍នេះធ្វើឱ្យវិស័យឯកជនមានទំនុកចិត្ត ក្នុងការវិនិយោគឡើងវិញ ឬវិនិយោគថ្មី ទៅលើវិស័យមួយនេះ ដែលជាសញ្ញាវិជ្ជមានមួយសម្រាប់ វិស័យទេសចរណ៍។,positive,corpus label used
147,pair1,មន្ទីរសុខាភិបាលខេត្តស្វាយរៀង បានលើកឡើងថា សារជាតិពុលរបស់ឪម៉ាល់បានធ្វើឱ្យកុមារីវ័យ៧ឆ្នាំម្នាក់ស្លាប់ ក្រោយពីសត្វឪម៉ាល់ទាំងនោះបានទិចនាងជាច្រើនកន្លែង ដែលធ្វើឱ្យប៉ះពាល់ដល់សរីរាង្គសំខាន់ៗ។,negative,corpus label used
148,pair1,ថ្មពិលដែលយើងប្រើសព្វថ្ងៃនេះមានច្រើនប្រភេទ។,neutral,corpus label used
149,pair1,ហើយបើបានទៅដល់ទីនោះផងម្នាក់ៗ ខំរួតរះដំណើរ ទៅអុជធូបបួងសួង ប្រាថ្នាឲ្យឆាប់ឡើង បុណ្យសក្តិ ឬឲ្យបានឡើងឋានសួគ៌ជាដើម។,positive,corpus label used
150,pair1,ឥឡូវនេះ ប្រទេសកម្ពុជាបានរៀបចំការបោះឆ្នោតជាតិ និងថ្នាក់ក្រោមជាតិជាទៀងទាត់ ក្រោមបន្ទាត់នៃរដ្ឋធម្មនុញ្ញជាតិបែបសេរី ដែលធានានូវសិទ្ធិពលរដ្ឋ និងសិទ្ធិនយោបាយ។,positive,corpus label used
151,pair1,គោលដៅនេះផ្តោតលើទិដ្ឋភាពយ៉ាងទូលំទូលាយ រួមមានអត្រាមរណភាព ចំនួននៃការឆ្លងជំងឺជាច្រើន ការប្រើប្រាស់ថ្នាំជក់ អត្រានៃការធ្វើអត្តឃាត ការស្លាប់តាមដងផ្លូវ និងការទទួលបានសេវាសុខភាពចាំបាច់ និងផែនការគ្រួសារ។,positive,annotators agreed
152,pair1,គេវាយតម្លៃថាតំបន់ផ្នូរបុរាណនេះមានសាកសពជាលក្ខណៈម៉ាមមីរហូតដល់ជាងមួយលានឯណោះហើយកប់ក្នុងផ្នូរធ្វើអំពីថ្មកំបោរក្នុងជំរៅដល់ជិត៣០ម៉ែត្រទៅក្រោមកាលសម័យនោះ។,neutral,annotators agreed
153,pair1,ហេតុការណ៍ដែលបានកើតឡើងលើក្មេងៗសិស្សសាលាកាលពីប៉ុន្មានថ្ងៃនេះគឺពិតជាពិបាកនឹងទទួលយកខ្លាំងណាស់,negative,corpus label used
154,pair1,ម្ចាស់គ្លីនីកមេត្តានៅរាជធានីភ្នំពេញ លោកវេជ្ជបណ្ឌិត ហ៊ាង រតនា មានប្រសាសន៍ប្រាប់វិទ្យុអាស៊ីសេរីថា អ្នកប្រើប្រាស់បារីអេឡិចត្រូនិច មានផលវិបាកធ្ងន់ធ្ងរដល់សុខភាព ដូចជាអ្នកជក់បារីផងដែរ។,negative,annotators agreed
155,pair1,អ្នកនឹងមានចេតនាធ្វើច្រើនលើសពីនេះទៀត។,neutral,corpus label used
156,pair1,សម្រាមច្រើនពេកដឹង ខ្លាចគេឃើញ,neutral,annotators agreed
157,pair1,ទី១១៖ ដើម្បីជៀសវាងការចម្លងជំងឺរលាកផ្លូវដង្ហើម និងជំងឺឆ្លងកូវីដ -១៩ ជាចាំបាច់ត្រូវពាក់ម៉ាស់ ក្រមាខ្ទប់មាត់ពេលក្អក ឬកណ្តាស់ និងត្រូវនៅឱ្យបានឆ្ងាយអ្នកជំងឺដែលក្អក ឬកណ្តាស់ឱ្យលើសពី ១ម៉ែតត្រកន្លះ ហើយនិងមិនត្រូវនៅក្បែរកន្លែងមានធូលីហុយបើចាំបាច់ត្រូវតែពាក់ម៉ាស់។,positive,corpus label used
158,pair1,កាលពីខែមិថុនា ព្រះតេជគុណ គូ សុភាព អ្នកនាង ខាត់ សុឃីម បានទៅលេងផ្ទះ ថៅកែតែគុជ Boba Tea ដែរ។,neutral,annotators agreed
159,pair1,ស្ថាប័ន Asiamoney បានមូលមិតិនិងជ្រើសរើសផ្តល់ពានរង្វាន់ ធនាគារក្នុងស្រុកឆ្នើមបំផុតនៅកម្ពុជា ឆ្នាំ២០២២ ទៅកាន់ ធនាគារ កាណាឌីយ៉ា ជាសក្ខីភាពមួយដែលបញ្ជាក់ពីភាពរឹងមាំរបស់ធនាគារ ក៏ដូចជាការផ្តោតសំខាន់និងប្តេជ្ញាពង្រឹងទៅលើគោលការបរិវត្តន៍ឌីជីថល ដើម្បីឱ្យស្របទៅនឹងបរិបទធនាគារក្នុងយុគសម័យឌីជីថល។,positive,corpus label used
160,pair1,បន្លែដែលមានស្លឹកពណ៌បៃតងដូចជាស្ពៃចង្កឹះ និងខាត់ណាក៏ជាប្រភពផ្តល់នូវ folate ដ៏ល្អបំផុតដែរ។,positive,annotators agreed
161,pair1,ជាអកុសល សហរដ្ឋអាមេរិកបែរជាដឹកនាំបង្កើតឱ្យមានការធ្វើពហិការការទូតប្រឆាំងនឹងព្រឹត្តការណ៍ កីឡាអូឡាំពិកទីក្រុងប៉េកាំងឆ្នាំ២០២២ទៅវិញ។,negative,corpus label used
162,pair1,ប៉ុន្តែចាប់ពីបិណ្ឌទី ៤ ទៅដើម្បីរក្សានូវជីវិតរក្សាកុំឲ្យមានការរាលដាលនៃជំងឺឆ្លងដ៏កាចសាហាវនេះសម្តេចក៏បានចេញបញ្ជាមិន ឲ្យមានការជួបជុំដើម្បីការពារការឆ្លងកូវីដ១៩ និងស្លាប់ដោយសារកូវីដ។,negative,annotators agreed
163,pair1,ប្រភពខាងលើបន្តថា៖ «ដោយក្រុមការងារនៃក្រុមព្រះសុរិយា បានជួសជុល និងចម្លងរក្សាទុកជាហ្វាល់ឌីជីថល យ៉ាងត្រឹមត្រូវ។,positive,corpus label used
164,pair1,ខ្ញុំចង់ទៅមើលអ្នកគ្រប់គ្រងនេះពេលនេះ,neutral,corpus label used
165,pair1,ជុំវិញបញ្ហានេះ លោក ហ្សេឡេនស្គី បានលើកឡើង៖«នេះគឺជាឧទាហរណ៍មួយទៀតនៃសកម្មភាពដ៏ច្បាស់លាស់នៃអំពើភេរវកម្មរបស់រុស្ស៊ី ដែលរដ្ឋភេរវករត្រូវតែទទួលទណ្ឌកម្មដែលកាន់តែខ្លាំងឡើង»។,negative,corpus label used
166,pair1,អ៊ំស្រីញញឹម ហើយគាត់ក៏ឡើងមកនិយាយពីអារម្មណ៍របស់គាត់វិញម្តង។,positive,corpus label used
